Aggravate,AVR,"「野蠻人！ 他們燒了我最喜歡的椅子！ 把他們全殺了！」
～安姬伐肯納",
Alchemist's Apprentice,AVR,副作用可能包括惡臭、炙熱蒸氣和自行消失。,
Alchemist's Refuge,AVR,鍊金術士被迫逃入凱錫革荒野深處，希望沒人干擾地繼續鑽研殘酷技藝。,
Amass the Components,AVR,「我就知道那些蠑螈唾液會有用處！」,
Angel of Glory's Rise,AVR,「亡物必得復死，正義才得彰顯。」,
Angel of Jubilation,AVR,「依尼翠的邪惡雖未盡除，但我們終於有歡慶的理由。」,
Angelic Armaments,AVR,在黑暗時刻以不滅火焰鍛造而成。,
Angelic Wall,AVR,"「風彷彿因天使羽翼揚起，將敵人掃向一旁。」
～旅人伊卡羅夫的故事",
Angel's Mercy,AVR,「我了解你的恐懼。 我憐憫你的疑慮。 我讓你免除此等困擾。」,
Angel's Tomb,AVR,"「信念能替頑石激發生命。」
～米凱耶的著作",
Appetite for Brains,AVR,第一口總是最美味多汁，就像吃桃子一樣。,
Arcane Melee,AVR,魔法師間的辯論總會摻雜非學術的成分。,
Archangel,AVR,披甲熾天使長嘯響徹雲霄，黑暗只得暫退。,
Archwing Dragon,AVR,較天使迅速，比惡魔殘酷，如屍鬼無情。,
"Avacyn, Angel of Hope",AVR,金色螺旋自獄窖疾昇入空。 巨大銀體在驚雷爆炸中碎裂，艾維欣終於自牢獄中脫困。,
Banners Raised,AVR,在獄窖毀壞後，可怕暴民很快成為無懼部隊。,
Barter in Blood,AVR,"「我們都必須為依尼翠的福祉作出犧牲。」
～索霖馬可夫",
Battle Hymn,AVR,"「教堂僅由木頭與牆構成。 頌揚天使者是虔誠教眾的集會。」
～卡茲特長者柯曼",
Bladed Bracers,AVR,以獄窖碎塊鍛造而成。,
Blood Artist,AVR,「未經深刻的苦痛，便無深刻的藝術。」,
Bloodflow Connoisseur,AVR,"「不因生存而死，卻為浮華而亡？ 這種歪風必得遏阻。」
～索霖馬可夫",
Bone Splinters,AVR,"「該賞你哪個：大腿骨重擊，還是優美前臂穿刺？ 抉擇呀抉擇...」
～狂人基沙",
Borderland Ranger,AVR,「從凱錫革到史頓襄只有一條路可走。 除非你跟我來。」,
Bower Passage,AVR,在最黑暗的時刻，有些人拒斥艾維欣。 現在凱錫革荒野是他們唯一的避難所。,
Builder's Blessing,AVR,"「灰泥須以神聖守護加持，否則街道必將染血。」
～瑟班石藝師瓦窪",
Butcher Ghoul,AVR,沒有心靈，就不畏懼死亡。 沒有靈魂，就不介意殺戮。,
Call to Serve,AVR,恩典是賜予而非獎賞。,
Captain of the Mists,AVR,「我不僅是船長。 北風是我的幫手； 潮汐是我的大副。」,
Cathars' Crusade,AVR,艾維欣的聖戰士在她最艱困的時刻依舊維繫著希望。 現在他們將把這份希望傳遍依尼翠。,
Cathedral Sanctifier,AVR,「邪惡即將潰敗。 現在依尼翠最需要療癒。」,
Cloudshift,AVR,"「連暴風雲都向艾維欣俯首敬拜。」
～長老琳海",
Commander's Authority,AVR,「光榮地佩戴她的標記，這是信念堅定不移與英勇奉行正道的象徵。」,
Conjurer's Closet,AVR,"「明日戴上昨日面容。」
～隱者寇岱",
