Abundant Growth,豐足成長,結界～靈氣,"結附於地
當豐足成長進戰場時，抽一張牌。
所結附的地具有「{T}：加一點任意顏色的魔法力到你的魔法力池中。」"
Aggravate,惹惱,瞬間,惹惱對由目標玩家操控的每個生物各造成1點傷害。 以此法受到傷害的每個生物本回合若能攻擊，則必須攻擊。
Alchemist's Apprentice,鍊金術士學徒,生物～人類／魔法師,犧牲鍊金術士學徒：抽一張牌。
Alchemist's Refuge,鍊金術士避難所,地,"{T}：加{C}到你的魔法力池中。
{G}{U}，{T}：於本回合中，你可以將非地牌視同具有閃現異能地來施放。"
Amass the Components,積聚配方,巫術,抽三張牌，然後將一張牌從你手上置於你的牌庫底。
Angel of Glory's Rise,耀揚天使,生物～天使,"飛行
當耀揚天使進戰場時，放逐所有殭屍，然後將所有人類生物牌從你的墳墓場移回戰場。"
Angel of Jubilation,歡慶天使,生物～天使,"飛行
由你操控的其他非黑色生物得+1/+1。
玩家不能以支付生命或犧牲生物的方式施放咒語或起動異能。"
Angelic Armaments,天使戰具,神器～武具,"佩帶此武具的生物得+2/+2，具有飛行異能，且額外具有白色此顏色與「天使」此類別。
佩帶{4}"
Angelic Wall,天使聖牆,生物～牆,守軍，飛行（此生物不能攻擊，且能阻擋具飛行異能的生物。）
Angel's Mercy,天使的慈悲,瞬間,你獲得7點生命。
Angel's Tomb,天使之墓,神器,每當一個生物在你的操控下進戰場時，你可以令天使之墓成為3/3白色，具飛行異能的天使神器生物直到回合結束。
Appetite for Brains,食腦胃口,巫術,目標對手展示其手牌。 你選擇其中一張總魔法力費用等於或大於4的牌，並放逐該牌。
Arcane Melee,神秘搏戰,結界,瞬間與巫術咒語減少{2} 來施放。
Archangel,大天使,生物～天使,飛行，警戒
Archwing Dragon,拱翼巨龍,生物～龍,"飛行，敏捷
在結束步驟開始時，將拱翼巨龍移回其擁有者手上。"
"Avacyn, Angel of Hope",希望天使艾維欣,傳奇生物～天使,"飛行，警戒
希望天使艾維欣與其他由你操控的永久物不會毀壞。"
Banishing Stroke,驅逐一擊,瞬間,"將目標神器，生物，或結界置於其擁有者的牌庫底。
奇蹟{W} （當你抽此牌時，如果它是你於本回合抽的第一張牌，你可以支付其奇蹟費用來施放它。）"
Banners Raised,旗幟升起,瞬間,由你操控的生物得+1/+0直到回合結束。
Barter in Blood,鮮血交易,巫術,每位玩家各犧牲兩個生物。
Battle Hymn,戰鬥讚歌,瞬間,你每操控一個生物，便加{R}到你的魔法力池中。
Bladed Bracers,鋒刃護臂,神器～武具,"佩帶此武具的生物得+1/+1。
只要佩帶此武具的生物是人類或天使，它便具有警戒異能。
佩帶{2} （{2}：裝備在目標由你操控的生物上； 佩帶的時機視同巫術。）"
Blessings of Nature,大自然的祝福,巫術,"將四個+1/+1指示物分配給任意數量的目標生物。
奇蹟{G} （當你抽此牌時，如果它是你於本回合抽的第一張牌，你可以支付其奇蹟費用來施放它。）"
Blood Artist,鮮血畫家,生物～吸血鬼,每當鮮血畫家或另一個生物死去時，目標玩家失去1點生命而你獲得1點生命。
Bloodflow Connoisseur,血流鑑賞家,生物～吸血鬼,犧牲一個生物：在血流鑑賞家上放置一個+1/+1指示物。
Bone Splinters,碎骨貫身,巫術,犧牲一個生物，以作為施放碎骨貫身的額外費用。消滅目標生物。
Bonfire of the Damned,厄亡者葬火,巫術,"厄亡者葬火對目標玩家與其所操控的每個生物各造成X點傷害 。
奇蹟{X}{R} （當你抽此牌時，如果它是你於本回合抽的第一張牌，你可以支付其奇蹟費用來施放它。）"
