Anathemancer,Anathèmancien,Créature : zombie et sorcier,"Quand l'Anathèmancien arrive en jeu, il inflige au joueur ciblé un nombre de blessures égal au nombre de terrains non-base que ce joueur contrôle.
Exhumation {5}{B}{R} #({5}{B}{R} : Renvoyez en jeu cette carte depuis votre cimetière. Elle acquiert la célérité. Retirez-la de la partie à la fin du tour ou si elle devait quitter le jeu. N'exhumez que lorsque vous pourriez jouer un rituel.)#"
Architects of Will,Architectes de la Volonté,Créature—artefact : humain et sorcier,"Quand les Architectes de la Volonté arrivent en jeu, regardez les trois cartes du dessus de la bibliothèque du joueur ciblé et remettez-les dessus dans l'ordre de votre choix.
Recyclage {UB} #({UB}, défaussez-vous de cette carte : Piochez une carte.)#"
Ardent Plea,Supplication ardente,Enchantement,"Exaltation #(À chaque fois qu'une créature que vous contrôlez attaque seule, cette créature gagne +1/+1 jusqu'à la fin du tour.)#
Cascade #(Quand vous jouez ce sort, retirez de la partie les cartes du dessus de votre bibliothèque jusqu'à ce que vous retiriez une carte non-terrain d'un coût inférieur. Vous pouvez la jouer sans payer son coût de mana. Mettez les cartes retirées au-dessous de la bibliothèque dans un ordre aléatoire.)#"
Arsenal Thresher,Batteuse arsenal,Créature—artefact : construction,"Au moment où la Batteuse arsenal arrive en jeu, vous pouvez révéler n'importe quel nombre d'autres cartes d'artefact de votre main. La Batteuse arsenal arrive en jeu avec, sur elle, un marqueur +1/+1 pour chaque carte révélée de cette manière."
Aven Mimeomancer,Ronéomancien avemain,Créature : oiseau et sorcier,"Vol
Au début de votre entretien, vous pouvez mettre un marqueur « plume » sur la créature ciblée. Si vous faites ainsi, cette créature est 3/1 et elle a le vol tant qu'elle a un marqueur « plume » sur elle."
Bant Sojourners,Séjourneurs de Bant,Créature : humain et soldat,"Quand vous recyclez les Séjourneurs de Bant ou qu'ils sont mis dans un cimetière depuis le jeu, vous pouvez mettre en jeu un jeton de créature 1/1 blanche Soldat.
Recyclage {2}{W} #({2}{W}, défaussez-vous de cette carte : Piochez une carte.)#"
Bant Sureblade,Suralfange de Bant,Créature : humain et soldat,"Tant que vous contrôlez un autre permanent multicolore, le Suralfange de Bant gagne +1/+1 et a l'initiative."
Behemoth Sledge,Frappe-devant béhémoth,Artefact : équipement,"La créature équipée gagne +2/+2 et a le lien de vie et le piétinement.
Équipement {3}"
Bituminous Blast,Salve bitumeuse,Éphémère,"Cascade #(Quand vous lancez ce sort, exilez les cartes du dessus de votre bibliothèque jusqu'à ce que vous exiliez une carte non-terrain d'un coût inférieur. Vous pouvez la lancer sans payer son coût de mana. Mettez les cartes exilées au-dessous de la bibliothèque dans un ordre aléatoire.)#
La Salve bitumeuse inflige 4 blessures à la créature ciblée."
Blitz Hellion,Monstruosité à l'attaque-éclair,Créature : monstruosité,"Piétinement, célérité
À la fin du tour, le propriétaire de la Monstruosité à l'attaque-éclair la mélange dans sa bibliothèque."
Bloodbraid Elf,Elfe aux Nattes sanguinolentes,Créature : elfe et berserker,"Célérité
Cascade #(Quand vous lancez ce sort, exilez les cartes du dessus de votre bibliothèque jusqu'à ce que vous exiliez une carte non-terrain d'un coût inférieur. Vous pouvez la lancer sans payer son coût de mana. Mettez les cartes exilées au-dessous de la bibliothèque dans un ordre aléatoire.)#"
Brainbite,Crocserveau,Rituel,"L'adversaire ciblé révèle sa main. Vous y choisissez une carte. Ce joueur se défausse de cette carte.
Piochez une carte."
Breath of Malfegor,Souffle de Malfégor,Éphémère,Le Souffle de Malfégor inflige 5 blessures à chaque adversaire.
Captured Sunlight,Rayons solaires captifs,Rituel,"Cascade #(Quand vous jouez ce sort, retirez de la partie les cartes du dessus de votre bibliothèque jusqu'à ce que vous retiriez une carte non-terrain d'un coût inférieur. Vous pouvez la jouer sans payer son coût de mana. Mettez les cartes retirées au-dessous de la bibliothèque dans un ordre aléatoire.)#
Vous gagnez 4 points de vie."
Cerodon Yearling,Jeune cérodon,Créature : bête,"Vigilance, célérité"
Cloven Casting,Incantation fourchue,Enchantement,"À chaque fois que vous jouez un sort d'éphémère ou de rituel multicolore, vous pouvez payer {1}. Si vous faites ainsi, copiez ce sort. Vous pouvez choisir de nouvelles cibles pour cette copie."
Colossal Might,Puissance colossale,Éphémère,La créature ciblée gagne +4/+2 et acquiert le piétinement jusqu'à la fin du tour.
Crystallization,Cristallisation,Enchantement : aura,"Enchanter : créature
La créature enchantée ne peut ni attaquer ni bloquer.
Quand la créature enchantée devient la cible d'un sort ou d'une capacité, retirez cette créature de la partie."
Dauntless Escort,Escorte intrépide,Créature : rhinocéros et soldat,Sacrifiez l'Escorte intrépide : Les créatures que vous contrôlez sont indestructibles ce tour-ci.
Deadshot Minotaur,Minotaure au coup mortel,Créature : minotaure,"Quand le Minotaure au coup mortel arrive en jeu, il inflige 3 blessures à la créature avec le vol ciblée.
Recyclage {RG} #({RG}, défaussez-vous de cette carte : Piochez une carte.)#"
Deathbringer Thoctar,Thoctar portemort,Créature : zombie et bête,"À chaque fois qu'une autre créature meurt, vous pouvez mettre un marqueur +1/+1 sur le Thoctar portemort.
Retirez un marqueur +1/+1 du Thoctar portemort : Le Thoctar portemort inflige 1 blessure à une cible, créature ou joueur."
Defiler of Souls,Contaminateur des âmes,Créature : démon,"Vol
Au début de l'entretien de chaque joueur, ce joueur sacrifie une créature monochrome."
Demonic Dread,Effroi démoniaque,Rituel,"Cascade #(Quand vous jouez ce sort, retirez de la partie les cartes du dessus de votre bibliothèque jusqu'à ce que vous retiriez une carte non-terrain d'un coût inférieur. Vous pouvez la jouer sans payer son coût de mana. Mettez les cartes retirées au-dessous de la bibliothèque dans un ordre aléatoire.)#
La créature ciblée ne peut pas bloquer ce tour-ci."
Demonspine Whip,Fouet d'échine de démon,Artefact : équipement,"{X} : La créature équipée gagne +X/+0 jusqu'à la fin du tour.
Équipement {1}"
Deny Reality,Déni de réalité,Rituel,"Cascade #(Quand vous lancez ce sort, exilez les cartes du dessus de votre bibliothèque jusqu'à ce que vous exiliez une carte non-terrain d'un coût inférieur. Vous pouvez la lancer sans payer son coût de mana. Mettez les cartes exilées au-dessous de la bibliothèque dans un ordre aléatoire.)#
Renvoyez le permanent ciblé dans la main de son propriétaire."
Double Negative,Double négative,Éphémère,Contrecarrez jusqu'à deux sorts ciblés.
Dragon Appeasement,Apaisement du dragon,Enchantement,"Sautez votre étape de pioche.
À chaque fois que vous sacrifiez une créature, vous pouvez piocher une carte."
Dragon Broodmother,Génitrice dragonne,Créature : dragon,"Vol
Au début de chaque entretien, mettez en jeu un jeton de créature 1/1 rouge et verte Dragon avec le vol et dévorement 2. #(Au moment où le jeton arrive en jeu, vous pouvez sacrifier le nombre de créatures de votre choix. Il arrive en jeu avec deux fois ce nombre de marqueurs +1/+1 sur lui.)#"
Drastic Revelation,Révélation draconienne,Rituel,"Défaussez-vous de votre main. Piochez sept cartes, puis défaussez-vous de trois cartes au hasard."
