Aberrant Researcher,Chercheur aberrant,Créature : humain et insecte,"Vol
Au début de votre entretien, mettez la carte du dessus de votre bibliothèque dans votre cimetière. Si c'est une carte d'éphémère ou de rituel, transformez le Chercheur aberrant.
-----
Forme perfectionnée
Créature : insecte et horreur
5/4
Vol"
Accursed Witch,Envoûteuse maudite,Créature : humain et shamane,"Les sorts que vos adversaires lancent qui ciblent l'Envoûteuse maudite coûtent {1} de moins à lancer.
Quand l'Envoûteuse maudite meurt, renvoyez-la sur le champ de bataille, transformée et sous votre contrôle, attachée à un adversaire ciblé.
-----
Malédiction infectieuse
Enchantement : aura et malédiction
Enchanter : joueur
Les sorts que vous lancez qui ciblent le joueur enchanté coûtent {1} de moins à lancer.
Au début de l'entretien du joueur enchanté, ce joueur perd 1 point de vie et vous gagnez 1 point de vie."
Aim High,Viser haut,Éphémère,Dégagez la créature ciblée. Elle gagne +2/+2 et acquiert la portée jusqu'à la fin du tour. #(Elle peut bloquer les créatures avec le vol.)#
Alms of the Vein,Charité des veines,Rituel,"L'adversaire ciblé perd 3 points de vie et vous gagnez 3 points de vie.
Folie {B} #(Si vous vous défaussez de cette carte, défaussez-vous en vers l'exil. Quand vous le faites, lancez-la pour son coût de folie ou mettez-la dans votre cimetière.)#"
Altered Ego,Ego altéré,Créature : changeforme,"L'Ego altéré ne peut pas être contrecarré.
Vous pouvez faire que l'Ego altéré arrive sur le champ de bataille comme une copie de n'importe quelle créature sur le champ de bataille, excepté qu'il a X marqueurs +1/+1 supplémentaires sur lui."
Always Watching,Observation constante,Enchantement,Les créatures non-jeton que vous contrôlez gagnent +1/+1 et ont la vigilance.
Angel of Deliverance,Ange de la délivrance,Créature : ange,"Vol
#Délire# — À chaque fois que l'Ange de la délivrance inflige des blessures, s'il y a au moins quatre types de carte parmi les cartes de votre cimetière, exilez une créature ciblée qu'un adversaire contrôle."
Angelic Purge,Épuration angélique,Rituel,"En tant que coût supplémentaire pour lancer l'Épuration angélique, sacrifiez un permanent.
Exilez l'artefact ciblé, la créature ciblée ou l'enchantement ciblé."
Anguished Unmaking,Annulation angoissée,Éphémère,Exilez le permanent non-terrain ciblé. Vous perdez 3 points de vie.
Apothecary Geist,Geist apothicaire,Créature : esprit,"Vol
Quand le Geist apothicaire arrive sur le champ de bataille, si vous contrôlez un autre esprit, vous gagnez 3 points de vie."
