Anathemancer,Fluchmagier,"Kreatur — Zombie, Zauberer","Wenn der Fluchmagier ins Spiel kommt, fügt er einem Spieler deiner Wahl so viele Schadenspunkte zu, wie dieser Spieler Nichtstandardländer kontrolliert.
Exhumieren {5}{B}{R} #({5}{B}{R}: Bringe diese Karte aus deinem Friedhof ins Spiel zurück. Sie hat Eile. Entferne sie am Ende des Zuges oder falls sie das Spiel verlassen würde ganz aus dem Spiel. Spiele Exhumieren nur wie eine Hexerei.)#"
Architects of Will,Architekten des Willens,"Artefaktkreatur — Mensch, Zauberer","Wenn die Architekten des Willens ins Spiel kommen, betrachte die obersten drei Karten der Bibliothek eines Spielers deiner Wahl und lege sie in beliebiger Reihenfolge zurück.
Umwandlung {UB} #({UB}, wirf diese Karte aus deiner Hand ab: Ziehe eine Karte.)#"
Ardent Plea,Sehnliche Bitte,Verzauberung,"Edelmut #(Immer wenn eine Kreatur, die du kontrollierst, alleine angreift, erhält diese Kreatur +1/+1 bis zum Ende des Zuges.)#
Kaskade #(Wenn du diesen Zauberspruch spielst, entferne solange die oberste Karte deiner Bibliothek ganz aus dem Spiel, bis du eine Karte aufdeckst, die weniger kostet als dieser und die kein Land ist. Du kannst sie spielen, ohne ihre Manakosten zu bezahlen. Lege die so entfernten Karten in zufälliger Reihenfolge unter deine Bibliothek.)#"
Arsenal Thresher,Arsenal-Drescher,Artefaktkreatur — Konstrukt,"Sowie der Arsenal-Drescher ins Spiel kommt, kannst du eine beliebige Anzahl an anderen Artefaktkarten aus deiner Hand offen vorzeigen. Für jede auf diese Weise vorgezeigte Karte kommt der Arsenal-Drescher mit einer +1/+1-Marke ins Spiel."
Aven Mimeomancer,Avior-Wandelmagier,"Kreatur — Vogel, Zauberer","Fliegend
Du kannst zu Beginn deines Versorgungssegments eine Feder-Marke auf eine Kreatur deiner Wahl legen. Falls du dies tust, ist diese Kreatur 3/1 und hat Flugfähigkeit, solange eine Feder-Marke auf ihr liegt."
Bant Sojourners,Besucher aus Bant,"Kreatur — Mensch, Soldat","Wenn du die Besucher aus Bant umwandelst oder sie aus dem Spiel auf den Friedhof gelegt werden, kannst du einen 1/1 weißen Soldaten-Kreaturenspielstein ins Spiel bringen.
Umwandlung {2}{W} #({2}{W}, wirf diese Karte aus deiner Hand ab: Ziehe eine Karte.)#"
Bant Sureblade,Sicherer Kämpfer aus Bant,"Kreatur — Mensch, Soldat","Solange du eine andere mehrfarbige bleibende Karte kontrollierst, erhält der Sichere Kämpfer aus Bant +1/+1 und Erstschlag."
Behemoth Sledge,Behemoth-Vorschlaghammer,Artefakt — Ausrüstung,"Die ausgerüstete Kreatur erhält +2/+2, hat Lebensverknüpfung und verursacht Trampelschaden.
Ausrüsten {3}"
Bituminous Blast,Pechhaltiger Strahl,Spontanzauber,"Kaskade #(Wenn du diesen Zauberspruch wirkst, schicke solange die oberste Karte deiner Bibliothek ins Exil, bis du eine Karte aufdeckst, die weniger kostet als diese und die kein Land ist. Du kannst sie wirken, ohne ihre Manakosten zu bezahlen. Lege die so ins Exil geschickten Karten in zufälliger Reihenfolge unter deine Bibliothek.)#
Der Pechhaltige Strahl fügt einer Kreatur deiner Wahl 4 Schadenspunkte zu."
Blitz Hellion,Blitzschneller Teufelsbraten,Kreatur — Teufelsbraten,"Verursacht Trampelschaden, Eile
Am Ende des Zuges mischt der Besitzer des Blitzschnellen Teufelsbratens ihn in seine Bibliothek."
Bloodbraid Elf,Blutzopf-Elf,"Kreatur — Elf, Berserker","Eile
Kaskade #(Wenn du diesen Zauberspruch wirkst, schicke solange die oberste Karte deiner Bibliothek ins Exil, bis du eine Karte aufdeckst, die weniger kostet als diese und die kein Land ist. Du kannst sie wirken, ohne ihre Manakosten zu bezahlen. Lege die so ins Exil geschickten Karten in zufälliger Reihenfolge unter deine Bibliothek.)#"
Brainbite,Gedankenfraß,Hexerei,"Ein Gegner deiner Wahl zeigt die Karten auf seiner Hand offen vor. Du bestimmst eine Karte darunter. Dieser Spieler wirft diese Karte ab.
Ziehe eine Karte."
Breath of Malfegor,Malfegors Atem,Spontanzauber,Malfegors Atem fügt allen Gegnern 5 Schadenspunkte zu.
Captured Sunlight,Eingesperrtes Sonnenlicht,Hexerei,"Kaskade #(Wenn du diesen Zauberspruch spielst, entferne solange die oberste Karte deiner Bibliothek ganz aus dem Spiel, bis du eine Karte entfernst, die weniger kostet als diese und die kein Land ist. Du kannst sie spielen, ohne ihre Manakosten zu bezahlen. Lege die so entfernten Karten in zufälliger Reihenfolge unter deine Bibliothek.)#
Du erhältst 4 Lebenspunkte dazu."
Cerodon Yearling,Cerodon-Jährling,Kreatur — Bestie,"Wachsamkeit, Eile"
