Anathemancer,Anatemante,Creatura — Mago Zombie,"Quando l'Anatemante entra in gioco, infligge danno a un giocatore bersaglio pari al numero di terre non base controllate da quel giocatore.
Dissotterrare {5}{B}{R} #({5}{B}{R}: Rimetti in gioco questa carta dal tuo cimitero. Ha rapidità. Rimuovila dal gioco alla fine del turno o se sta per lasciare il gioco. Dissotterra solo quando potresti giocare una stregoneria.)#"
Architects of Will,Architetti della Volontà,Creatura Artefatto — Mago Umano,"Quando gli Architetti della Volontà entrano in gioco, guarda le prime tre carte del grimorio di un giocatore bersaglio, poi rimettile a posto in qualsiasi ordine.
Ciclo {UB} #({UB}, Scarta questa carta: Pesca una carta.)#"
Ardent Plea,Invocazione Ardente,Incantesimo,"Esaltato #(Ogniqualvolta una creatura che controlli attacca da sola, prende +1/+1 fino alla fine del turno.)#
Cascata #(Quando giochi questa magia, rimuovi dal gioco le carte dalla cima del tuo grimorio finché non rimuovi una carta non terra con costo di mana minore. Puoi giocare quella carta senza pagare il suo costo di mana. Metti le altre carte rimosse in fondo al tuo grimorio in ordine casuale.)#"
Arsenal Thresher,Mietitore dell'Arsenale,Creatura Artefatto — Costrutto,"Mentre il Mietitore dell'Arsenale entra in gioco, puoi rivelare un qualsiasi numero di altre carte artefatto dalla tua mano. Il Mietitore dell'Arsenale entra in gioco con un segnalino +1/+1 per ogni carta rivelata in questo modo."
Aven Mimeomancer,Duplicomante Aviano,Creatura — Mago Uccello,"Volare
All'inizio del tuo mantenimento, puoi mettere un segnalino piuma su una creatura bersaglio. Se lo fai, quella creatura è una creatura 3/1 con volare fintanto che ha un segnalino piuma."
Bant Sojourners,Visitatori di Bant,Creatura — Soldato Umano,"Quando cicli i Visitatori di Bant o quando vengono messi in un cimitero dal gioco, puoi mettere in gioco una pedina creatura Soldato 1/1 bianca.
Ciclo {2}{W} #({2}{W}, Scarta questa carta: Pesca una carta.)#"
Bant Sureblade,Lama Sicura di Bant,Creatura — Soldato Umano,"Fintanto che controlli un altro permanente multicolore, la Lama Sicura di Bant prende +1/+1 e ha attacco improvviso."
Behemoth Sledge,Maglio del Behemoth,Artefatto — Equipaggiamento,"La creatura equipaggiata prende +2/+2 e ha legame vitale e travolgere.
Equipaggiare {3}"
Bituminous Blast,Esplosione di Bitume,Istantaneo,"Cascata #(Quando lanci questa magia, esilia carte dalla cima del tuo grimorio finché non esili una carta non terra che costa meno. Puoi lanciarla senza pagare il suo costo di mana. Metti le carte esiliate in fondo al tuo grimorio in ordine casuale.)#
L'Esplosione di Bitume infligge 4 danni a una creatura bersaglio."
Blitz Hellion,Infernale Incursore,Creatura — Infernale,"Travolgere, rapidità
Alla fine del turno, il proprietario dell'Infernale Incursore lo rimescola nel suo grimorio."
Bloodbraid Elf,Elfa dalle Trecce Rosse,Creatura — Berserker Elfo,"Rapidità
Cascata #(Quando lanci questa magia, esilia carte dalla cima del tuo grimorio finché non esili una carta non terra che costa meno. Puoi lanciarla senza pagare il suo costo di mana. Metti le carte esiliate in fondo al tuo grimorio in ordine casuale.)#"
Brainbite,Morso al Cervello,Stregoneria,"Un avversario bersaglio rivela la sua mano. Scegli una carta da quella mano. Quel giocatore scarta quella carta.
Pesca una carta."
Breath of Malfegor,Soffio di Malfegor,Istantaneo,Il Soffio di Malfegor infligge 5 danni a ogni avversario.
Captured Sunlight,Raggio di Sole Prigioniero,Stregoneria,"Cascata #(Quando giochi questa magia, rimuovi dal gioco le carte dalla cima del tuo grimorio finché non rimuovi una carta non terra con costo di mana minore. Puoi giocare quella carta senza pagare il suo costo di mana. Metti le altre carte rimosse in fondo al tuo grimorio in ordine casuale.)#
Guadagni 4 punti vita."
