Abundant Growth,과잉 성장,부여마법 — 마법진,"대지에게 부여
과잉 성장이 전장에 들어올 때, 카드 한 장을 뽑는다.
부여된 대지는 ""{T}: 당신의 마나풀에 원하는 색의 마나 한 개를 담는다.""라는 능력을 가진다."
Aggravate,악화,순간마법,플레이어 한 명을 목표로 정한다. 악화는 그 플레이어가 조종하는 각 생물에게 피해 1점씩을 입힌다. 이렇게 피해를 입은 생물들은 가능하면 이 턴에 공격한다.
Alchemist's Apprentice,연금술사 견습생,생물 — 인간 마법사,연금술사 견습생을 희생한다: 카드 한 장을 뽑는다.
Alchemist's Refuge,연금술사의 도피처,대지,"{T}: {C}를 당신의 마나풀에 담는다.
{G}{U}, {T}: 당신은 이 턴에 대지가 아닌 카드를 섬광 능력을 가진 것처럼 발동할 수 있다."
Amass the Components,재료 모으기,집중마법,카드 세 장을 뽑은 후 당신의 손에 있는 카드 한 장을 당신의 서고 맨 밑에 놓는다.
Angel of Glory's Rise,비상하는 영광의 천사,생물 — 천사,"비행
비상하는 영광의 천사가 전장에 들어올 때, 모든 좀비 지속물을 추방한 후 당신의 무덤에 있는 모든 인간 생물 카드를 전장으로 되돌린다."
Angel of Jubilation,환희의 천사,생물 — 천사,"비행
당신이 조종하는 다른 생물 중 흑색이 아닌 생물들은 +1/+1을 얻는다.
플레이어들은 주문을 발동하거나 능력을 활성화하기 위해 생명점을 지불하거나 생물을 희생할 수 없다."
Angelic Armaments,천사의 무기,마법물체 — 장비,"장착된 생물은 +2/+2를 받고 비행 능력을 가지며, 자신의 원래 색에 더불어 백색이고 원래 유형에 더불어 천사다.
장착 {4}"
Angelic Wall,천사의 벽,생물 — 벽,"수비태세 #(이 생물은 공격할 수 없다.)# 
비행"
Angel's Mercy,천사의 자비,순간마법,당신은 생명 7점을 얻는다.
Angel's Tomb,천사의 무덤,마법물체,"생물이 당신의 조종하에 전장에 들어올 때마다, 당신은 턴종료까지 천사의 무덤을 비행을 가진 3/3 백색 천사 마법물체 생물이 되도록 할 수 있다."
Appetite for Brains,뇌를 먹고 싶은 욕구,집중마법,상대 한 명을 목표로 정한다. 그 플레이어는 자신의 손을 공개한다. 당신은 그 중에서 전환마나비용이 4 이상인 카드 한 장을 골라 추방한다.
Arcane Melee,마법사의 근접전,부여마법,순간마법과 집중마법 주문은 발동하는 데 {2}가 덜 든다.
Archangel,대천사,생물 — 천사,"비행, 경계"
Archwing Dragon,굽은날개 용,생물 — 용,"비행, 신속
각 종료단 시작에, 굽은날개 용을 소유자의 손으로 되돌린다."
"Avacyn, Angel of Hope",희망의 천사 아바신,전설적 생물 — 천사,"비행, 경계
희망의 천사 아바신과 당신이 조종하는 다른 지속물들은 파괴될 수 없다."
Banishing Stroke,추방의 일격,순간마법,"마법물체나 생물이나 부여마법 한 개를 목표로 정한다. 그 지속물을 소유자의 서고 맨 밑에 놓는다.
기적 {W} #(당신이 이 카드를 뽑을 때, 이 카드가 당신이 이번 턴에 뽑은 첫 번째 카드라면 당신은 기적 비용을 지불하고 이 카드를 발동할 수 있다.)#"
Banners Raised,휘날리는 깃발,순간마법,당신이 조종하는 생물들은 턴종료까지 +1/+0을 받는다.
Barter in Blood,유혈의 교환,집중마법,각 플레이어는 생물 두 개를 희생한다.
Battle Hymn,군가,순간마법,당신이 조종하는 생물 한 개당 {R}를 당신의 마나풀에 담는다.
Bladed Bracers,날 달린 팔보호대,마법물체 — 장비,"장착된 생물은 +1/+1을 받는다.
장착된 생물이 인간 또는 천사인 한, 그 생물은 경계 능력을 가진다.
장착 {2} #({2}: 당신이 조종하는 생물 한 개를 목표로 정한다. 그 생물에 이 장비를 부착한다. 당신이 집중마법을 발동할 수 있는 시기에만 이 능력을 활성화할 수 있다.)#"
Blessings of Nature,자연의 축복,집중마법,"생물을 원하는 만큼 목표로 정한다. 목표로 정해진 생물들 사이에 +1/+1 카운터 네 개를 배분한다.
기적 {G} #(당신이 이 카드를 뽑을 때, 이 카드가 당신이 이번 턴에 뽑은 첫 번째 카드라면 당신은 기적 비용을 지불하고 이 카드를 발동할 수 있다.)#"
Blood Artist,피의 예술가,생물 — 흡혈귀,"피의 예술가나 다른 생물이 죽을 때마다, 플레이어 한 명을 목표로 정한다. 그 플레이어는 생명 1점을 잃고 당신은 생명 1점을 얻는다."
Bloodflow Connoisseur,유혈 감정사,생물 — 흡혈귀,생물 한 개를 희생한다: 유혈 감정사에 +1/+1 카운터 한 개를 올려놓는다.
Bone Splinters,쪼개진 뼈 가시,집중마법,"쪼개진 뼈 가시를 발동하기 위한 추가비용으로, 생물을 희생한다.
생물을 목표로 정한다. 그 생물을 파괴한다."
Bonfire of the Damned,저주받은 자들의 불길,집중마법,"플레이어 한 명을 목표로 정한다. 저주받은 자들의 불길은 그 플레이어와 그 플레이어가 조종하는 각 생물에게 피해 X점씩을 입힌다.
기적 {X}{R} #(당신이 이 카드를 뽑을 때, 이 카드가 당신이 이번 턴에 뽑은 첫 번째 카드라면 당신은 기적 비용을 지불하고 이 카드를 발동할 수 있다.)#"
Borderland Ranger,국경지대 레인저,생물 — 인간 정찰병,"국경지대 레인저가 전장에 들어올 때, 당신은 당신의 서고에서 기본 대지 카드 한 장을 찾아 공개한 후 당신의 손으로 가져갈 수 있다. 그렇게 할 경우, 당신의 서고를 섞는다."
Bower Passage,나무그늘 통로,부여마법,비행 능력을 가진 생물은 당신이 조종하는 생물들을 방어할 수 없다.
