Architects of Will,ARB,Esta sociedade secreta de magos manipula as crenças e opiniões dos outros.,
Aven Mimeomancer,ARB,"“Se os céus são nosso único refúgio, farei com que todos tenhamos asas.”",
Bant Sojourners,ARB,“Precisamos difundir a luz de Bant antes que as sombras nos envolvam.”,
Bant Sureblade,ARB,Os soldados que lutaram por Grixis aprenderam a golpear primeiro e recitar a prece de Asha depois.,
Behemoth Sledge,ARB,Aqueles que veneram os grandes gargantuas não poderiam lutar com uma arma sutil.,
Blitz Hellion,ARB,Os alarianos comemoraram suas aparições com novos feriados que têm nomes como Grande Cataclismo e Queda do Portão de Ilson.,
Brainbite,ARB,Um mago de Esper é capaz de criar um buraco na sua memória com precisão cirúrgica. Um mago de Grixis não vê nenhum motivo para ser tão gentil.,
Breath of Malfegor,ARB,O sangue dos demônios se acelerou quando seu mestre sobrevoou o campo de batalha. O sangue dos anjos também se acelerou: era a oportunidade de finalmente pôr um fim à guerra iniciada há milênios.,
Cerodon Yearling,ARB,A unidade de medida usada para calcular o crescimento de um dentócero é “número de pessoas consumidas”.,
Cloven Casting,ARB,"“Vamos fugir para o interior da selva. Nossa cidade não é mais segura, e muito menos o nosso abrigo.”",
Colossal Might,ARB,"“Jamais encurrale um bárbaro. Você acabará sendo o caminho que oferece menor resistência.”
— Sarkhan Vol",
Dauntless Escort,ARB,"Os escudeiros de Elspeth não estão em busca de promoções. Para eles, não há glória maior para um cavaleiro que a de servir seu campeão.",
Deadshot Minotaur,ARB,“Que a terra se erga para saudá-lo.”,
Defiler of Souls,ARB,"“Não se transvie pelo caminho do pecado, a fim de não encontrar o porteiro de uma tumba insaciável.”
— Prece de Asha",
Demonspine Whip,ARB,Usar uma espinha dorsal para arrebentar as costas de um escravo desperta o lado irônico dos Grixis.,
Double Negative,ARB,"Eles temiam um ao outro pelas suas diferenças, mas estavam absolutamente aterrorizados com suas semelhanças.",
Dragon Appeasement,ARB,"“Veja — estão carregando aquele ali numa liteira. Deve ser o líder. Espere... Oh! Acho que não.”
— Kaeda, batedor aviano",
Drastic Revelation,ARB,"Todo desastre é envolto em mistério, por absoluta falta de testemunhas sanas.",
Enlisted Wurm,ARB,Páreo para qualquer exército — até mesmo o seu próprio.,
Esper Sojourners,ARB,"Quanto mais selvagem a fronteira, maior a necessidade de uma mão controladora.",
Esper Stormblade,ARB,Os invocadores de tempestade vieram para apreciar a novidade das correntes ascendentes vulcânicas de Jund.,
Ethercaste Knight,ARB,“Nós nos revestimos de aço todos os dias. O que é o etherium se não a próxima etapa lógica?”,
Etherium Abomination,ARB,Ele recebeu vida através do etherium de centenas de esperianos mortos.,
Ethersworn Shieldmage,ARB,"“Viram, filhos do metal? Seus corpos já estão rejeitando as feridas. Continuem no nosso caminho e alcançarão a perfeição.”",
Etherwrought Page,ARB,"Uma página solta é como um enigma, sem capa nem contexto, o sinal favorito da hegemônica.",
Fight to the Death,ARB,"Quando o campo de batalha fica silencioso, raramente é devido a um cessar-fogo.",
Filigree Angel,ARB,"“Eu estava em busca de iluminação e o etherium de Crucius abriu meus olhos. Posso compartilhar minha visão com você, mas primeiro você deve acreditar.”",
Flurry of Wings,ARB,“Nós já nascemos soldados. O chamado da batalha é como voltar para casa.”,
Giant Ambush Beetle,ARB,"Ele aguarda com uma imobilidade tão absoluta que passaria por uma estátua, se não fosse visto ocasionalmente mastigando suas vítimas.",
Glory of Warfare,ARB,“Suas esperanças esmagadas contra nossos escudos! Sua vitória ceifada pelas nossas espadas!”,
Gloryscale Viashino,ARB,"“Este é um novo mundo e uma nova guerra. Precisamos de guerreiros que conheçam o caos e saibam como combatê-lo.”
— Lisha do Azul Celeste",
Godtracker of Jund,ARB,"“Os behemoths contentam-se em pastar como gado, mas os dragões explodem com ira e sede de conquista. Eu sei que exemplo seguir.”",
Gorger Wurm,ARB,"Na Alara dividida pela guerra, às vezes a goela de um vorme é um dos lugares mais seguros.",
Grizzled Leotau,ARB,"“Não há nenhuma glória em morrer de velhice, como até mesmo os leotaus sabem. Quando o inverno penetra sua couraça, eles buscam as terras mais perigosas para poder morrer do mesmo modo que viveram.”
— Aarsil, a Abençoada",
Identity Crisis,ARB,"“Para unir-se a nós, é necessário ser puro. Para ser puro, é necessário ser abençoado com o etherium. Para ser abençoado, é necessário esquecer-se de si mesmo.”
— Prece do Etherólatra",
Illusory Demon,ARB,"No Maelstrom, até um truque de luz pode se alimentar de carne humana.",
Intimidation Bolt,ARB,"Durante horas, a única coisa que conseguiam enxergar era a horripilante silhueta de seu mestre, aos gritos.",
"Jenara, Asura of War",ARB,"Os soldados feridos olharam para o alto, gratos pela sua aparição. Mas ela passou por eles, com o olhar firme sobre seus inimigos.",
Jund Hackblade,ARB,Os cavaleiros já estavam na metade de seus rituais de combate quando perceberam que aquele brutamontes detestável queria começar sem eles.,
Knight of New Alara,ARB,"“Eu abraço toda Alara, tanto Grixis quanto Bant. Que meu antigo lar me considere um traidor. Não faço isso em busca de honra, mas porque é o certo.”",
Knotvine Paladin,ARB,"“Ele faz parte de uma nova raça de guardiões que agrega não apenas o melhor do mundo dele como também do nosso.”
— Mayael, a Anima",
Lavalanche,ARB,O sangue em chamas de Alara não pode ser contido somente com terra e pedra.,
Leonin Armorguard,ARB,Os nacatl são perfeitos para uma armadura de aço e garras temperadas na forja.,
Lord of Extinction,ARB,Os gritos desesperados dos mortos combinam-se para formar sua risada.,
Lorescale Coatl,ARB,"“A iluminação que nunca encontrei no etherium consegui encontrar traçada nas escamas do coatl.”
— Ranalus, herege vedalkeano",
Madrush Cyclops,ARB,A morte chega num piscar de olhos.,
Maelstrom Pulse,ARB,"Durante a colisão dos fragmentos, modos de vida inteiros desapareceram sem deixar vestígios.",
Mage Slayer,ARB,"“Qualquer espada serve se a mão que a empunha é forte o suficiente.”
— Kresh Tranças-de-Sangue",
Magefire Wings,ARB,"Dar asas a uma criatura não elimina seu medo de voar — ou seu medo do fogo, nesse caso.",
Marisi's Twinclaws,ARB,"“Parece que estamos mesmo em minoria.”
“Que sorte a nossa. Achei que seria entediante.”",
Meddling Mage,ARB,“Este território violento denuncia o seu povo. Esses covardes não têm a força de vontade necessária para vencer a desordem.”,
Messenger Falcons,ARB,Foram tantos os aviano que morreram patrulhando os fronts distantes que os cavaleiros-capitães recrutaram os falcões de Naya como mensageiros.,
Mind Funeral,ARB,"“A eternidade da alma dura somente o quanto eu quiser.”
— Sharuum, a Hegemônica",
Monstrous Carabid,ARB,O que acontece quando um plano de predadores entra em colisão com quatro planos de presas?,
Morbid Bloom,ARB,"“Dos malditos faço meu jardim.”
— Jorshu, do Clã Nel Toth",
Mycoid Shepherd,ARB,A profusão de mana puro na qual os fragmentos mergulharam trouxe uma sensação de unidade até mesmo à cadeia alimentar selvagem de Jund.,
Naya Sojourners,ARB,Os elfos entraram numa terra que é como um túmulo aberto — um ato de coragem ou de loucura?,
Nemesis of Reason,ARB,As palavras que o descrevem falham. As páginas que o mencionam se enrugam. Os contos que o lembram terminam.,
Nulltread Gargantuan,ARB,"Ele esmaga tudo em seu caminho, mas ainda assim não deixa nenhum vestígio de sua passagem — nenhum resquício da destruição, nenhuma alma estatelada, nem mesmo uma pegada.",
Offering to Asha,ARB,"“Agora, seu corpo pertence a Bant. Sua alma? Sinceramente, não sei. Espero que pertença aos anjos.”
— Rafiq dos Muitos",
Predatory Advantage,ARB,Aqueles que esquecem seu passado estão condenados a ser devorados por ele.,
Putrid Leech,ARB,Ela reagiu à superabundante cadeia alimentar de Naya desenvolvendo bocas adicionais.,
Qasali Pridemage,ARB,"Um ancião num bando, um membro da casta Insigne em outro.",
Reborn Hope,ARB,"“A escuridão instiga a mais tenaz das esperanças.”
— Hadran, semeador de heliósporos de Naya",
Retaliator Griffin,ARB,"Olho por olho. Dente por dente. Os grifos são, acima de tudo, justos.",
