Anathemancer,Anatemântico,Criatura — Zumbi Mago,"Quando Anatemântico entra em jogo, ele causa dano ao jogador alvo igual ao número de terrenos não-básicos que aquele jogador controla.
Desenterrar {5}{B}{R} #({5}{B}{R}: Devolva este card de seu cemitério para o jogo. Ele ganha ímpeto. Remova-o do jogo no final do turno ou se ele for deixar o jogo. Use desenterrar somente como um feitiço.)#"
Architects of Will,Arquitetos do Arbítrio,Criatura Artefato — Humano Mago,"Quando Arquitetos do Arbítrio entrar em jogo, olhe os três cards do topo do grimório do jogador alvo, depois coloque-os de volta em qualquer ordem.
Reciclar {UB} #({UB}, Descarte este card: Compre um card.)#"
Ardent Plea,Súplica Ardente,Encantamento,"Exaltado #(Toda vez que uma criatura que você controla ataca sozinha, ela recebe +1/+1 até o final do turno.)#
Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#"
Arsenal Thresher,Debulhador de Arsenal,Criatura Artefato — Constructo,"Conforme Debulhador de Arsenal entra em jogo, você pode revelar um número qualquer de outros cards de artefato da sua mão. Debulhador de Arsenal entra em jogo com um marcador +1/+1 para cada card revelado desta maneira."
Aven Mimeomancer,Mimeomante Aviano,Criatura — Ave Mago,"Voar
No início de sua manutenção, você pode colocar um marcador de pena na criatura alvo. Se fizer isso, aquela criatura será 3/1 e terá voar enquanto tiver um marcador de pena."
Bant Sojourners,Visitantes de Bant,Criatura — Humano Soldado,"Quando reciclar Visitantes de Bant ou ele for colocado num cemitério vindo do jogo, você poderá colocar em jogo uma ficha de criatura branca 1/1 do tipo Soldado.
Reciclar {2}{W} #({2}{W}, Descarte este card: Compre um card.)#"
Bant Sureblade,Lâmina Certeira de Bant,Criatura — Humano Soldado,"Enquanto você controlar outra permanente multicolorida, Lâmina Certeira de Bant receberá +1/+1 e terá iniciativa."
Behemoth Sledge,Martelo Behemoth,Artefato — Equipamento,"A criatura equipada recebe +2/+2 e tem vínculo com a vida e atropelar.
Equipar {3}"
Bituminous Blast,Explosão Betuminosa,Mágica Instantânea,"Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#
Explosão Betuminosa causa 4 pontos de dano à criatura alvo."
Blitz Hellion,Avernal do Ataque-relâmpago,Criatura — Avernal,"Atropelar, ímpeto
No final do turno, o dono de Avernal do Ataque-relâmpago o embaralha em seu próprio grimório."
Bloodbraid Elf,Elfo Tranças-de-Sangue,Criatura — Elfo Amoque,"Ímpeto
Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#"
Brainbite,Mordida Cerebral,Feitiço,"O oponente alvo revela sua própria mão. Você escolhe um card dela. Aquele jogador descarta aquele card.
Compre um card."
Breath of Malfegor,Bafo de Malfegor,Mágica Instantânea,Bafo de Malfegor causa 5 pontos de dano a cada oponente.
Captured Sunlight,Luz Solar Capturada,Feitiço,"Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#
Você ganha 4 pontos de vida."
Cerodon Yearling,Dentócero Neonato,Criatura — Besta,"Vigilância, ímpeto"
Cloven Casting,Conjuração Bifurcada,Encantamento,"Toda vez que você joga uma mágica instantânea ou um feitiço multicolorido, você pode pagar {1}. Se fizer isso, copie aquela mágica. Você pode escolher novos alvos para a cópia."
Colossal Might,Força Colossal,Mágica Instantânea,A criatura alvo recebe +4/+2 e ganha atropelar até o final do turno.
Crystallization,Cristalização,Encantamento — Aura,"Encantar criatura
A criatura encantada não pode atacar nem bloquear.
Quando a criatura encantada se tornar alvo de uma mágica ou habilidade, remova aquela criatura do jogo."
Dauntless Escort,Acompanhante Destemido,Criatura — Rinoceronte Soldado,Sacrifique Acompanhante Destemido: As criaturas que você controla são indestrutíveis neste turno.
Deadshot Minotaur,Minotauro do Tiro Mortal,Criatura — Minotauro,"Quando Minotauro do Tiro Mortal entra em jogo, ele causa 3 pontos de dano à criatura alvo com voar.
Reciclar {RG} #({RG}, Descarte este card: Compre um card.)#"
Deathbringer Thoctar,Tóctar Fatífero,Criatura — Zumbi Besta,"Toda vez que outra criatura é colocada no cemitério vinda do jogo, você pode colocar um marcador +1/+1 em Tóctar Fatífero.
Remova um marcador +1/+1 de Tóctar Fatífero: Tóctar Fatífero causa 1 ponto de dano à criatura ou ao jogador alvo."
Defiler of Souls,Profanador de Almas,Criatura — Demônio,"Voar
No início da manutenção de cada jogador, aquele jogador sacrifica uma criatura monocolorida."
Demonic Dread,Temor Demoníaco,Feitiço,"Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#
A criatura alvo não pode bloquear neste turno."
Demonspine Whip,Chicote Espinha-do-Demônio,Artefato — Equipamento,"{X}: A criatura equipada recebe +X/+0 até o final do turno.
Equipar {1}"
Deny Reality,Negar a Realidade,Feitiço,"Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#
Devolva a permanente alvo para a mão de seu dono."
Double Negative,Negativo Duplo,Mágica Instantânea,Anule até duas mágicas alvo.
Dragon Appeasement,Apaziguamento de Dragão,Encantamento,"Pule sua etapa de compra.
Toda vez que sacrificar uma criatura, você poderá comprar um card."
Dragon Broodmother,Dragão Mãe de Ninhada,Criatura — Dragão,"Voar
No início de cada manutenção, coloque em jogo uma ficha de criatura vermelha e verde 1/1 do tipo Dragão com voar e devorar 2. #(Conforme a ficha entra em jogo, você pode sacrificar um número qualquer de criaturas. Ela entra em jogo com o dobro daquela quantidade de marcadores +1/+1.)#"
Drastic Revelation,Revelação Drástica,Feitiço,Descarte a sua mão. Compre sete cards e depois descarte três cards aleatoriamente.
Enigma Sphinx,Esfinge do Enigma,Criatura Artefato — Esfinge,"Voar
Quando Esfinge do Enigma for colocada no seu cemitério vinda do jogo, coloque-a no seu grimório na terceira posição, contando a partir do topo.
Cascata #(Quando jogar esta mágica, remova do jogo cards do topo de seu grimório até remover um que não seja terreno e que tenha custo inferior. Você pode jogá-lo sem pagar seu custo de mana. Coloque os cards removidos no fundo de forma aleatória.)#"
