Anathemancer,Anatemante,Criatura — Hechicero zombie,"Cuando el Anatemante entre en juego, le hace daño al jugador objetivo igual a la cantidad de tierras no básicas que controla ese jugador.
Desenterrar {5}{B}{R}. #({5}{B}{R}: Regresa esta carta de tu cementerio al juego. Gana la habilidad de prisa. Remuévela del juego al final del turno o si fuera a dejar el juego. Desentierra sólo como un conjuro.)#"
Architects of Will,Arquitectos de voluntad,Criatura artefacto — Hechicero humano,"Cuando los Arquitectos de voluntad entran en juego, mira las tres primeras cartas de la biblioteca del jugador objetivo, luego regrésalas en cualquier orden.
Ciclo {UB}. #({UB}, descartar esta carta: Roba una carta.)#"
Ardent Plea,Plegaria ardorosa,Encantamiento,"Exaltado. #(Siempre que una criatura que controles ataque sola, esa criatura obtiene +1/+1 hasta el final del turno.)#
Cascada. #(Cuando juegues este hechizo, remueve del juego las primeras cartas de tu biblioteca hasta que remuevas una carta que no sea tierra que cueste menos. Puedes jugar esa carta sin pagar su coste de maná. Pon las cartas removidas en el fondo de tu biblioteca en un orden aleatorio.)#"
Arsenal Thresher,Trillador del arsenal,Criatura artefacto — Constructo,"En cuanto el Trillador del arsenal entre en juego, puedes mostrar cualquier cantidad de otras cartas de artefacto de tu mano. El Trillador del arsenal entra en juego con un contador +1/+1 por cada carta mostrada de esta manera."
Aven Mimeomancer,Mimeomante aven,Criatura — Hechicero ave,"Vuela.
Al comienzo de tu mantenimiento, puedes poner un contador de pluma sobre la criatura objetivo. Si lo haces, esa criatura es 3/1 y tiene la habilidad de volar mientras tenga un contador de pluma sobre ella."
Bant Sojourners,Transeúntes de Bant,Criatura — Soldado humano,"Cuando uses el ciclo de los Transeúntes de Bant o vayan a tu cementerio desde el juego, puedes poner en juego una ficha de criatura Soldado blanca 1/1.
Ciclo {2}{W}. #({2}{W}, descartar esta carta: Roba una carta.)#"
Bant Sureblade,Espada certera bantiana,Criatura — Soldado humano,"Mientras controles otro permanente multicolor, la Espada certera bantiana obtiene +1/+1 y daña primero."
Behemoth Sledge,Maza de behemot,Artefacto — Equipo,"La criatura equipada obtiene +2/+2 y tiene las habilidades de vínculo vital y arrollar.
Equipar {3}."
Bituminous Blast,Ráfaga bituminosa,Instantáneo,"Cascada. #(Cuando lances este hechizo, exilia las primeras cartas de tu biblioteca hasta que exilies una carta que no sea tierra que cueste menos. Puedes lanzar esa carta sin pagar su coste de maná. Pon las cartas exiliadas en el fondo de tu biblioteca en un orden aleatorio.)#
La Ráfaga bituminosa hace 4 puntos de daño a la criatura objetivo."
Blitz Hellion,Infernal devastador,Criatura — Infernal,"Arrolla, prisa.
Al final del turno, el propietario del Infernal devastador lo baraja en su biblioteca."
Bloodbraid Elf,Elfo trenzas sangrientas,Criatura — Berserker elfo,"Prisa.
Cascada. #(Cuando lances este hechizo, exilia las primeras cartas de tu biblioteca hasta que exilies una carta que no sea tierra que cueste menos. Puedes lanzar esa carta sin pagar su coste de maná. Pon las cartas exiliadas en el fondo de tu biblioteca en un orden aleatorio.)#"
Brainbite,Dentellada cerebral,Conjuro,"El oponente objetivo muestra su mano. Tú eliges de ahí una carta. Ese jugador descarta esa carta.
Roba una carta."
Breath of Malfegor,Aliento de Malfegor,Instantáneo,El Aliento de Malfegor hace 5 puntos de daño a cada oponente.
Captured Sunlight,Luz solar capturada,Conjuro,"Cascada. #(Cuando juegues este hechizo, remueve del juego las primeras cartas de tu biblioteca hasta que remuevas una carta que no sea tierra que cueste menos. Puedes jugar esa carta sin pagar su coste de maná. Pon las cartas removidas en el fondo de tu biblioteca en un orden aleatorio.)#
Gana 4 vidas."
Cerodon Yearling,Primal cerodonte,Criatura — Bestia,"Vigilancia, prisa."
Cloven Casting,Lanzamiento hendido,Encantamiento,"Siempre que juegues un hechizo instantáneo o conjuro multicolor, puedes pagar {1}. Si lo haces, copia ese hechizo. Puedes elegir nuevos objetivos para la copia."
Colossal Might,Poder colosal,Instantáneo,La criatura objetivo obtiene +4/+2 y gana la habilidad de arrollar hasta el final del turno.
Crystallization,Cristalización,Encantamiento — Aura,"Encantar criatura.
La criatura encantada no puede atacar ni bloquear.
Cuando la criatura encantada sea el objetivo de un hechizo o habilidad, remueve del juego esa criatura."
Dauntless Escort,Escolta intrépido,Criatura — Soldado rinoceronte,Sacrificar el Escolta intrépido: Las criaturas que controlas son indestructibles este turno.
