Animus of Predation,conspiracy
Adriana's Valor,conspiracy
Arcane Savant,conspiracy
Archdemon of Paliano,conspiracy
Assemble the Rank and Vile,conspiracy
Caller of the Untamed,conspiracy
Custodi Peacekeeper,conspiracy
Echoing Boon,conspiracy
Emissary's Ploy,conspiracy
Garbage Fire,conspiracy
Hired Heist,conspiracy
Hold the Perimeter,conspiracy
Hymn of the Wilds,conspiracy
Illusionary Informant,conspiracy
Incendiary Dissent,conspiracy
Leovold's Operative,conspiracy
Natural Unity,conspiracy
Noble Banneret,conspiracy
Paliano Vanguard,conspiracy
Pyretic Hunter,conspiracy
Regicide,conspiracy
Smuggler Captain,conspiracy
Sovereign's Realm,conspiracy
Spire Phantasm,conspiracy
Summoner's Bond,conspiracy
Volatile Chimera,conspiracy
Weight Advantage,conspiracy
AEther Searcher,conspiracy
Agent of Acquisitions,conspiracy
Canal Dredger,conspiracy
Cogwork Grinder,conspiracy
Cogwork Librarian,conspiracy
Cogwork Spy,conspiracy
Cogwork Tracker,conspiracy
Deal Broker,conspiracy
Lore Seeker,conspiracy
Lurking Automaton,conspiracy
"Paliano, the High City",conspiracy
Whispergear Sneak,conspiracy
Advantageous Proclamation,conspiracy
Backup Plan,conspiracy
Brago's Favor,conspiracy
Double Stroke,conspiracy
Immediate Action,conspiracy
Iterative Analysis,conspiracy
Muzzio's Preparations,conspiracy
Power Play,conspiracy
Secret Summoning,conspiracy
Secrets of Paradise,conspiracy
Sentinel Dispatch,conspiracy
Unexpected Potential,conspiracy
Worldknit,conspiracy
Ancient Tomb,expedition
Arid Mesa,expedition
Blood Crypt,expedition
Bloodstained Mire,expedition
Breeding Pool,expedition
Canopy Vista,expedition
Cascade Bluffs,expedition
Cinder Glade,expedition
Dust Bowl,expedition
Eye of Ugin,expedition
Fetid Heath,expedition
Fire-Lit Thicket,expedition
Flooded Grove,expedition
Flooded Strand,expedition
Forbidden Orchard,expedition
Godless Shrine,expedition
Graven Cairn,expedition
Graven Cairns,expedition
Hallowed Fountain,expedition
Horizon Canopy,expedition
Kor Haven,expedition
Mana Confluence,expedition
Marsh Flats,expedition
Misty Rainforest,expedition
Mystic Gate,expedition
Overgrown Tomb,expedition
Polluted Delta,expedition
Prairie Stream,expedition
Rugged Prairie,expedition
Sacred Foundry,expedition
Scalding Tarn,expedition
Smoldering Marsh,expedition
Steam Vents,expedition
Stomping Ground,expedition
Strip Mine,expedition
Sunken Hollow,expedition
Sunken Ruins,expedition
Tectonic Edge,expedition
Temple Garden,expedition
Twilight Mire,expedition
Verdant Catacombs,expedition
Wasteland,expedition
Watery Grave,expedition
Windswept Heath,expedition
Wooded Bastion,expedition
Wooded Foothills,expedition
Forest,fullartbasicland
Island,fullartbasicland
Mountain,fullartbasicland
Plains,fullartbasicland
Swamp,fullartbasicland
Wastes,fullartbasicland
Alive,fuse-left
Armed,fuse-left
Beck,fuse-left
Breaking,fuse-left
Catch,fuse-left
Down,fuse-left
Far,fuse-left
Flesh,fuse-left
Give,fuse-left
Profit,fuse-left
Protect,fuse-left
Ready,fuse-left
Toil,fuse-left
Turn,fuse-left
Wear,fuse-left
Away,fuse-right
Blood,fuse-right
Burn,fuse-right
Call,fuse-right
Dangerous,fuse-right
Dirty,fuse-right
Entering,fuse-right
Loss,fuse-right
Release,fuse-right
Serve,fuse-right
Take,fuse-right
Tear,fuse-right
Trouble,fuse-right
Well,fuse-right
Willing,fuse-right
The Avenger,hero
The Champion,hero
The Destined,hero
The Explorer,hero
The General,hero
The Harvester,hero
The Hunter,hero
The Philosopher,hero
The Protector,hero
The Provider,hero
The Savant,hero
The Slayer,hero
The Tyrant,hero
The Vanquisher,hero
The Warmonger,hero
The Warrior,hero
Axe of the Warmonger,heroartifact
Bow of the Hunter,heroartifact
Cloak of the Philosopher,heroartifact
Lash of the Tyrant,heroartifact
Spear of the General,heroartifact
Anguished Unmaking,mgdpromo
Black Sun's Zenith,mgdpromo
Chief Engineer,mgdpromo
Conclave Naturalists,mgdpromo
Cryptborn Horror,mgdpromo
Deathless Angel,mgdpromo
Dictate of Kruphix,mgdpromo
Diregraf Ghoul,mgdpromo
Dryad Militant,mgdpromo
Dungrove Elder,mgdpromo
Elite Inquisitor,mgdpromo
Elvish Mystic,mgdpromo
Emeria Angel,mgdpromo
Firemane Avenger,mgdpromo
Goblin Diplomats,mgdpromo
Hada Freeblade,mgdpromo
Heir of the Wilds,mgdpromo
Heron's Grace Champion,mgdpromo
Hive Stirrings,mgdpromo
Incorrigible Youths,mgdpromo
Kalastria Highborn,mgdpromo
Killing Wave,mgdpromo
Kiora's Follower,mgdpromo
Languish,mgdpromo
Latch Seeker,mgdpromo
Liliana's Specter,mgdpromo
Magmaquake,mgdpromo
Mardu Shadowspear,mgdpromo
"Melek, Izzet Paragon",mgdpromo
Memnite,mgdpromo
Mitotic Slime,mgdpromo
Mwonvuli Beast Tracker,mgdpromo
Mycoid Shepherd,mgdpromo
Myr Superion,mgdpromo
Nighthowler,mgdpromo
Nissa's Chosen,mgdpromo
Pain Seer,mgdpromo
Phalanx Leader,mgdpromo
Priest of Urabrask,mgdpromo
Radiant Flames,mgdpromo
Reclamation Sage,mgdpromo
Scaleguard Sentinels,mgdpromo
Squelching Leeches,mgdpromo
Staggershock,mgdpromo
Stasis Snare,mgdpromo
Stormblood Berserker,mgdpromo
Strangleroot Geist,mgdpromo
Supplant Form,mgdpromo
Suture Priest,mgdpromo
Tempered Steel,mgdpromo
Thunderbreak Regent,mgdpromo
Treasure Mage,mgdpromo
