Inventors' Fair,C,Story Spotlight 1/5,,,Élément de l'histoire 1/5,Story-Schlüsselmoment 1/5,Momento Chiave 1/5,注目のストーリー 1/5,Destaques Da História 1/5,Поворот Сюжета 1/5,Suceso Destacado 1/5,스토리 소개 1/5
Captured By The Consulate,W,Story Spotlight 2/5,,,Élément de l'histoire 2/5,Story-Schlüsselmoment 2/5,Momento Chiave 2/5,注目のストーリー 2/5,Destaques Da História 2/5,Поворот Сюжета 2/5,Suceso Destacado 2/5,스토리 소개 2/5
Deadlock Trap,Art,Story Spotlight 3/5,,,Élément de l'histoire 3/5,Story-Schlüsselmoment 3/5,Momento Chiave 3/5,注目のストーリー 3/5,Destaques Da História 3/5,Поворот Сюжета 3/5,Suceso Destacado 3/5,스토리 소개 3/5
Fateful Showdown,R,Story Spotlight 4/5,,,Élément de l'histoire 4/5,Story-Schlüsselmoment 4/5,Momento Chiave 4/5,注目のストーリー 4/5,Destaques Da História 4/5,Поворот Сюжета 4/5,Suceso Destacado 4/5,스토리 소개 4/5
Confiscation Coup,U,Story Spotlight 5/5,,,Élément de l'histoire 5/5,Story-Schlüsselmoment 5/5,Momento Chiave 5/5,注目のストーリー 5/5,Destaques Da História 5/5,Поворот Сюжета 5/5,Suceso Destacado 5/5,스토리 소개 5/5
Consulate Crackdown,W,Story Spotlight 1/5,,,Élément de l'histoire 1/5,Story-Schlüsselmoment 1/5,Momento Chiave 1/5,注目のストーリー 1/5,Destaques Da História 1/5,Поворот Сюжета 1/5,Suceso Destacado 1/5,스토리 소개 1/5
Pia's Revolution,R,Story Spotlight 2/5,,,Élément de l'histoire 2/5,Story-Schlüsselmoment 2/5,Momento Chiave 2/5,注目のストーリー 2/5,Destaques Da História 2/5,Поворот Сюжета 2/5,Suceso Destacado 2/5,스토리 소개 2/5
Disallow,U,Story Spotlight 3/5,,,Élément de l'histoire 3/5,Story-Schlüsselmoment 3/5,Momento Chiave 3/5,注目のストーリー 3/5,Destaques Da História 3/5,Поворот Сюжета 3/5,Suceso Destacado 3/5,스토리 소개 3/5
Battle at the Bridge,B,Story Spotlight 4/5,,,Élément de l'histoire 4/5,Story-Schlüsselmoment 4/5,Momento Chiave 4/5,注目のストーリー 4/5,Destaques Da História 4/5,Поворот Сюжета 4/5,Suceso Destacado 4/5,스토리 소개 4/5
Dark Intimations,Gld,Story Spotlight 5/5,,,Élément de l'histoire 5/5,Story-Schlüsselmoment 5/5,Momento Chiave 5/5,注目のストーリー 5/5,Destaques Da História 5/5,Поворот Сюжета 5/5,Suceso Destacado 5/5,스토리 소개 5/5
