Name,Localized Name,Set,Type,Legal Text,Flavor,Version
Angel,天使,OGW,,,,
Dragon,龙,BFZ,,,,
Eldrazi,奧扎奇,BFZ,,,,
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,1
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,6
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,2
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,5
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,4
Eldrazi Scion,奥札奇 / 孽裔,OGW,,牺牲此生物：加{C}到你的法术力池中。,,3
Eldrazi Scion,奥札奇 / 孽裔,BFZ,,牺牲此生物：加{C}到你的法术力池中。,,3
Eldrazi Scion,奥札奇 / 孽裔,BFZ,,牺牲此生物：加{C}到你的法术力池中。,,1
Eldrazi Scion,奥札奇 / 孽裔,BFZ,,牺牲此生物：加{C}到你的法术力池中。,,2
Elemental,元素,OGW,,,,1
Elemental,元素,OGW,,,,2
Elemental,元素,BFZ,,,,2
Elemental,元素,BFZ,,,,1
Knight Ally,骑士 / 伙伴,BFZ,,,,
Kor Ally,寇族 / 伙伴,BFZ,,,,
Octopus,章鱼,BFZ,,,,
Plant,植物,BFZ,,,,
Zombie,灵俑,OGW,,,,
