Name,Name (CN),Name (TW),Name (FR),Name (DE),Name (IT),Name (JP),Name (PT),Name (RU),Name (ES),Name (KO),Column 12
Bane of Hanweir,翰威孽种,翰威孽種,Fléau de Hanweir,Unheil von Hennweier,Flagello di Hanweir,ハンウィアーの災い,Desgraça de Hanweir,Ханвирское Проклятие,Ruina de Hanweir,,
"Garruk, the Veil-Cursed",面纱咒贾路,面紗咒賈路,Garruk maudit par le Voile,Garruk der Schleierverfluchte,"Garruk, Maledetto dal Velo",ヴェールの呪いのガラク,"Garruk, o Amaldiçoado pelo Véu","Гаррук, Проклятый Завесой","Garruk, maldito por el Velo",,
Gatstaf Howler,卡兹特嚎狼,卡茲特嚎狼,Hurleur de Gatstaf,Heuler von Gatztow,Ululatore di Gatstaf,ガツタフの咆哮者,Uivador de Gatstaf,Гастафский Завыватель,Aullador de Gatstaf,,
Homicidal Brute,嗜杀蛮汉,嗜殺蠻漢,Brute homicide,Mörderischer Rohling,Bruto Omicida,人殺しの粗暴者,Brutamontes Homicida,Жестокий Смертоубийца,Bruto homicida,,
Howlpack Alpha,嚎群首领,嚎群首領,Alpha hurlemeute,Alphatier des Heulerrudels,Ulubranco Alfa,吠え群れの頭目,Alfa da Alcateia Uivante,Вожак Воющей Стаи,Alfa de la jauría aullante,,
Howlpack of Estwald,恩资森嚎群,恩資森嚎群,Hurlemeute d'Estwald,Heulerrudel aus Eschwald,Ulubranco di Estwald,エストワルドの吠え群れ,Alcateia Uivante de Estwald,Эствальдская Воющая Стая,Jauría aullante de Estwald,,
Insectile Aberration,昆虫变体,昆蟲變體,Aberration insectoïde,Insekten-Scheußlichkeit,Insetto Aberrante,昆虫の逸脱者,Aberração Insetídea,Насекомовидная Тварь,Aberración insectoide,,
Ironfang,钢牙狼,鋼牙狼,Crocdefer,Eisenfang,Zanna di Ferro,鉄牙,Canino de Ferro,Железный Клык,Colmillo de hierro,,
Krallenhorde Wantons,展爪妄狼,展爪妄狼,Libertins Krallenhorde,Krallenhorde-Verruchte,Libertini Krallenhorde,爪の群れののけ者,Devassos Krallenhorde,Кралленордские Беспутники,Salvajes Krallenhorde,,
Lord of Lineage,世系之王,世系之王,Seigneur de la succession,Fürst des Geschlechts,Signore del Lignaggio,系統の王,Senhor da Linhagem,Повелитель Рода,Señor del linaje,,
Ludevic’s Abomination,卢德维的憎恨兽,盧德維的憎恨獸,Abomination de Ludevic,Ludevics Scheußlichkeit,Abominio di Ludevic,ルーデヴィックの嫌悪者,Abominação de Ludevic,Созданная Людевиком Мерзость,Abominación de Ludevic,,
Merciless Predator,残酷掠食者,殘酷掠食者,Prédatrice impitoyable,Gnadenloses Raubtier,Predatrice Spietata,無慈悲な捕食者,Predadora Impiedosa,Безжалостная Хищница,Depredadora despiadada,,
Nightfall Predator,夜幕掠食者,夜幕掠食者,Prédateur du crépuscule,Nachtbeginn-Jäger,Predatrice del Crepuscolo,黄昏の捕食者,Predador do Anoitecer,Сумеречная Хищница,Depredadora del anochecer,,
Rampaging Werewolf,莽闯狼人,莽闖狼人,Loup-garou déchaîné,Tobender Werwolf,Lupo Mannaro Scatenato,猛り狂う狼男,Lobisomem Enfurecido,Неиствующий Вервольф,Licántropo impetuoso,,
Stalking Vampire,伏击吸血鬼,伏擊吸血鬼,Vampire en chasse,Pirschende Vampirin,Vampira Furtiva,忍び寄る吸血鬼,Vampiro Caçador,Вампирша-Преследовательница,Vampiro acechante,,
